id,date,Home,Away,round,result,Home_Points_Before,home_halftime_score,home_fulltime_score,home_extratime_score,home_penalty_score,Away_Points_Before,away_halftime_score,away_fulltime_score,away_extratime_score,away_penalty_score
721819,2021-11-04 03:00:00+00:00,Cruz Azul,Leon,Apertura - 11,a,23,0,0,,,23,1,1,,
721820,2021-11-05 01:00:00+00:00,U.N.A.M. - Pumas,Santos Laguna,Apertura - 11,a,18,0,0,,,20,1,3,,
721866,2021-11-05 03:00:00+00:00,Atlas,Club Queretaro,Apertura - 17,h,26,0,2,,,15,0,0,,
721867,2021-11-06 01:00:00+00:00,Puebla,Toluca,Apertura - 17,h,21,0,1,,,24,0,0,,
721868,2021-11-06 03:00:00+00:00,Mazatlán,Guadalajara Chivas,Apertura - 17,a,20,0,0,,,19,0,1,,
721869,2021-11-06 23:00:00+00:00,Leon,Necaxa,Apertura - 17,h,26,1,3,,,20,0,0,,
721870,2021-11-07 01:00:00+00:00,Club America,Monterrey,Apertura - 17,d,34,0,0,,,21,0,0,,
721871,2021-11-07 03:00:00+00:00,Tigres UANL,FC Juarez,Apertura - 17,h,25,1,3,,,16,0,0,,
721872,2021-11-07 03:06:00+00:00,Club Tijuana,Pachuca,Apertura - 17,h,12,1,3,,,18,1,2,,
721873,2021-11-07 23:00:00+00:00,U.N.A.M. - Pumas,Cruz Azul,Apertura - 17,h,18,1,4,,,23,3,3,,
721874,2021-11-08 01:06:00+00:00,Santos Laguna,Atletico San Luis,Apertura - 17,d,23,0,0,,,19,0,0,,
812182,2021-11-21 01:00:00+00:00,Santos Laguna,Atletico San Luis,Apertura - Reclasificación,h,24,0,2,,,20,0,0,,
812184,2021-11-21 03:00:00+00:00,Puebla,Guadalajara Chivas,Apertura - Reclasificación,d,24,1,2,0.0,6.0,22,1,2,0.0,5.0
812183,2021-11-21 23:00:00+00:00,Toluca,U.N.A.M. - Pumas,Apertura - Reclasificación,a,24,0,1,,,21,1,2,,
812185,2021-11-22 01:15:00+00:00,Cruz Azul,Monterrey,Apertura - Reclasificación,a,23,1,1,,,22,2,4,,
813305,2021-11-25 01:00:00+00:00,U.N.A.M. - Pumas,Club America,Apertura - Quarter-finals,d,24,0,0,,,35,0,0,,
813307,2021-11-25 03:05:00+00:00,Monterrey,Atlas,Apertura - Quarter-finals,d,25,0,0,,,29,0,0,,
813309,2021-11-26 01:00:00+00:00,Puebla,Leon,Apertura - Quarter-finals,h,25,1,2,,,29,1,1,,
813311,2021-11-26 03:05:00+00:00,Santos Laguna,Tigres UANL,Apertura - Quarter-finals,h,27,2,2,,,28,0,1,,
813306,2021-11-28 01:00:00+00:00,Club America,U.N.A.M. - Pumas,Apertura - Quarter-finals,a,36,1,1,,,25,2,3,,
813308,2021-11-28 03:05:00+00:00,Atlas,Monterrey,Apertura - Quarter-finals,d,30,1,1,,,26,0,1,,
813312,2021-11-29 00:00:00+00:00,Tigres UANL,Santos Laguna,Apertura - Quarter-finals,h,28,0,1,,,30,0,0,,
813310,2021-11-29 02:05:00+00:00,Leon,Puebla,Apertura - Quarter-finals,h,29,1,2,,,28,0,0,,
814001,2021-12-02 03:00:00+00:00,Tigres UANL,Leon,Apertura - Semi-finals,h,31,0,2,,,32,0,1,,
814003,2021-12-03 03:00:00+00:00,U.N.A.M. - Pumas,Atlas,Apertura - Semi-finals,a,28,0,0,,,31,1,1,,
814002,2021-12-05 03:00:00+00:00,Leon,Tigres UANL,Apertura - Semi-finals,h,32,1,2,,,34,1,1,,
814004,2021-12-06 01:00:00+00:00,Atlas,U.N.A.M. - Pumas,Apertura - Semi-finals,a,34,0,0,,,28,0,1,,
815205,2021-12-10 03:00:00+00:00,Leon,Atlas,Apertura - Finals,h,35,1,3,,,34,1,2,,
815206,2021-12-13 02:15:00+00:00,Atlas,Leon,Apertura - Finals,h,34,0,1,0.0,4.0,38,0,0,0.0,3.0
816329,2022-01-07 03:00:00+00:00,Atletico San Luis,Pachuca,Clausura - 1,a,20,0,0,,,18,0,2,,
816330,2022-01-08 01:00:00+00:00,FC Juarez,Necaxa,Clausura - 1,h,16,1,2,,,20,0,1,,
816331,2022-01-08 03:00:00+00:00,Puebla,Club America,Clausura - 1,d,28,1,1,,,36,1,1,,
816332,2022-01-09 01:06:00+00:00,Monterrey,Club Queretaro,Clausura - 1,d,27,0,0,,,15,0,0,,
816334,2022-01-09 03:00:00+00:00,Cruz Azul,Club Tijuana,Clausura - 1,h,23,1,2,,,15,0,0,,
816336,2022-01-10 00:00:00+00:00,Guadalajara Chivas,Mazatlán,Clausura - 1,h,23,3,3,,,20,0,0,,
816335,2022-01-11 03:00:00+00:00,U.N.A.M. - Pumas,Toluca,Clausura - 1,h,31,1,5,,,24,0,0,,
816333,2022-01-13 02:06:00+00:00,Santos Laguna,Tigres UANL,Clausura - 1,d,30,0,1,,,34,0,1,,
816338,2022-01-15 01:00:00+00:00,Club Queretaro,U.N.A.M. - Pumas,Clausura - 2,a,16,1,1,,,34,2,3,,
816339,2022-01-15 03:00:00+00:00,Necaxa,Monterrey,Clausura - 2,a,20,0,0,,,28,3,4,,
816340,2022-01-15 23:00:00+00:00,Atlas,Atletico San Luis,Clausura - 2,h,37,0,1,,,20,0,0,,
816341,2022-01-16 01:00:00+00:00,Tigres UANL,Puebla,Clausura - 2,a,35,0,0,,,29,2,2,,
816342,2022-01-16 03:00:00+00:00,Cruz Azul,FC Juarez,Clausura - 2,h,26,1,1,,,19,0,0,,
816343,2022-01-16 03:06:00+00:00,Club Tijuana,Leon,Clausura - 2,d,15,0,1,,,38,1,1,,
816344,2022-01-16 18:00:00+00:00,Toluca,Santos Laguna,Clausura - 2,h,24,1,3,,,31,1,1,,
816345,2022-01-16 23:00:00+00:00,Pachuca,Guadalajara Chivas,Clausura - 2,h,21,2,2,,,26,0,1,,
816337,2022-01-20 03:00:00+00:00,Leon,Atlas,Clausura - 1,d,39,1,1,,,40,0,1,,
816347,2022-01-21 03:00:00+00:00,Atletico San Luis,FC Juarez,Clausura - 3,a,20,0,0,,,19,0,1,,
816348,2022-01-22 03:00:00+00:00,Mazatlán,Toluca,Clausura - 3,a,20,1,1,,,27,0,2,,
816350,2022-01-22 23:00:00+00:00,Guadalajara Chivas,Club Queretaro,Clausura - 3,d,26,1,1,,,16,1,1,,
816351,2022-01-23 01:00:00+00:00,Leon,Pachuca,Clausura - 3,h,40,1,2,,,24,1,1,,
816352,2022-01-23 03:00:00+00:00,Club America,Atlas,Clausura - 3,a,37,0,0,,,41,0,2,,
816353,2022-01-23 03:06:00+00:00,Monterrey,Cruz Azul,Clausura - 3,d,31,0,2,,,29,1,2,,
816354,2022-01-23 18:00:00+00:00,U.N.A.M. - Pumas,Tigres UANL,Clausura - 3,a,37,1,1,,,35,0,2,,
816355,2022-01-24 01:00:00+00:00,Santos Laguna,Necaxa,Clausura - 3,a,31,1,1,,,20,1,4,,
816349,2022-01-29 03:00:00+00:00,Puebla,Club Tijuana,Clausura - 3,h,32,0,3,,,16,1,1,,
816356,2022-02-05 23:00:00+00:00,Necaxa,Pachuca,Clausura - 4,a,23,0,1,,,24,2,3,,
816357,2022-02-06 01:00:00+00:00,Club America,Atletico San Luis,Clausura - 4,a,37,0,2,,,20,1,3,,
816359,2022-02-06 03:06:00+00:00,Club Tijuana,U.N.A.M. - Pumas,Clausura - 4,h,16,0,1,,,37,0,0,,
816360,2022-02-06 22:00:00+00:00,Club Queretaro,Puebla,Clausura - 4,a,17,0,0,,,35,2,2,,
